GEO_ID,NAME,S1401_C01_003E
45001,"Abbeville County, South Carolina",3825
45003,"Aiken County, South Carolina",27285
45005,"Allendale County, South Carolina",1424
45007,"Anderson County, South Carolina",33859
45009,"Bamberg County, South Carolina",2327
45011,"Barnwell County, South Carolina",3571
45013,"Beaufort County, South Carolina",25046
45015,"Berkeley County, South Carolina",37448
45017,"Calhoun County, South Carolina",2223
45019,"Charleston County, South Carolina",56015
45021,"Cherokee County, South Carolina",10052
45023,"Chester County, South Carolina",5615
45025,"Chesterfield County, South Carolina",7874
45027,"Clarendon County, South Carolina",5086
45029,"Colleton County, South Carolina",6172
45031,"Darlington County, South Carolina",11336
45033,"Dillon County, South Carolina",5800
45035,"Dorchester County, South Carolina",30640
45037,"Edgefield County, South Carolina",4336
45039,"Fairfield County, South Carolina",3531
45041,"Florence County, South Carolina",25687
45043,"Georgetown County, South Carolina",8987
45045,"Greenville County, South Carolina",86455
45047,"Greenwood County, South Carolina",11680
45049,"Hampton County, South Carolina",3321
45051,"Horry County, South Carolina",45567
45053,"Jasper County, South Carolina",4907
45055,"Kershaw County, South Carolina",11405
45057,"Lancaster County, South Carolina",14433
45059,"Laurens County, South Carolina",11018
45061,"Lee County, South Carolina",2647
45063,"Lexington County, South Carolina",50855
45065,"McCormick County, South Carolina",886
45067,"Marion County, South Carolina",5369
45069,"Marlboro County, South Carolina",4202
45071,"Newberry County, South Carolina",6037
45073,"Oconee County, South Carolina",11726
45075,"Orangeburg County, South Carolina",15291
45077,"Pickens County, South Carolina",17596
45079,"Richland County, South Carolina",66530
45081,"Saluda County, South Carolina",3281
45083,"Spartanburg County, South Carolina",53595
45085,"Sumter County, South Carolina",19410
45087,"Union County, South Carolina",4324
45089,"Williamsburg County, South Carolina",5275
45091,"York County, South Carolina",48716
