mapX,mapY,pixelX,pixelY,enable,dX,dY,residual
1986824.22173050791025162,783815.27584113262128085,1396.55497881741848687,-1307.10914235368386471,1,0,0,0
1986232.88763369084335864,783848.59043813636526465,1237.79936224742664308,-1228.96518601094180667,1,0,0,0
1986916.75946978735737503,783853.19764906237833202,1410.93984107931851213,-1310.08223985545737378,0,0,0,0
1987407.55506448959931731,784198.4372410251526162,1604.11843019274738253,-1276.0245431689797897,1,0,0,0
1986770.05592296132817864,783393.50614247401244938,1327.17500599911727477,-1412.67904119628269655,1,0,0,0
1987284.92884244467131793,783495.69466084474697709,1478.3672165825164484,-1454.83840760896146094,1,0,0,0
1986297.01914621843025088,783807.33852673484943807,1254.48644321863707773,-1238.22649052312999629,1,0,0,0
1986239.79437235067598522,784275.59827609686180949,1290.4497997355717871,-1112.77155181435841769,1,0,0,0
1986385.13075136509723961,784023.95268411445431411,1313.69357787431226825,-1192.34896610797113681,1,0,0,0
1987119.79729896690696478,783232.4214562657289207,1392.50077542545932374,-1497.19993221813774653,1,0,0,0
1985505.87441738392226398,783619.30944235960487276,1015.85138155539038962,-1203.15468273260944443,1,0,0,0
1986919.21357151423580945,783856.36055582191329449,1414.28539538806444398,-1309.26897500127188323,0,0,0,0
1986591.32649975293315947,784623.83553988847415894,1423.16575138163238989,-1087.39880958138041933,1,0,0,0
1985587.60284783528186381,783107.53448522486723959,964.1350015995241165,-1344.01349931678782923,1,0,0,0
1986884.89342269138433039,783310.92594475497025996,1354.5695555418483309,-1476.99109565061280591,1,0,0,0

